scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,logWtAnalysis,log_avg_wt,griLump,domSize,lsRatiolog,lsRatio,rank,distEdgeGRI,fwd,bwd,distCongener,regionalCongener,lumpCongener,distNeighbor,activityBin
Rattus rattus,SW,0,3,B,280.0,280.0,Rattus,0,F,T,N,4,2.4471580313422194,2.4471580313422194,2.4471580313422194,5,smaller,0.0,1.0,29,0.0,2.505149978319906,2.3324384599156054,0.3249421530693928,4,2,0.11471957142661404,Nocturnal
Rattus norvegicus,SW,0,2,B,320.0,320.0,Rattus,0,F,ST,N,4,2.505149978319906,2.505149978319906,2.505149978319906,5,smaller,0.0,1.0,30,0.05799194697768639,2.730378468587643,2.4471580313422194,0.05799194697768639,4,2,0.05799194697768639,Nocturnal
Myrmecobius fasciatus,SW,1,3,F,478.0,537.5,Myrmecobius,1,A,ST,D,1,2.6794278966121188,2.6794278966121188,2.730378468587643,5,smaller,0.09654643451725022,1.2489539748953975,31,0.0,2.832508912706236,2.505149978319906,-Inf,1,1,0.22522849026773706,Diurnal
Hydromys chrysogaster,SW,0,2,F,606.0,680.5,Hydromys,1,A,AT,N,1,2.782472624166286,2.782472624166286,2.8328281295393536,6,smaller,0.095474327462902,1.2458745874587458,33,3.1921683311741944e-4,2.8779469516291885,2.832508912706236,-Inf,1,1,3.1921683311741944e-4,Nocturnal
Isoodon obesulus,SW,0,3,F,620.0,755.0,Isoodon,1,A,T,C,1,2.792391689498254,2.792391689498254,2.8779469516291885,6,smaller,0.15699831714665893,1.435483870967742,34,0.0,3.0,2.8328281295393536,-Inf,1,1,0.045118822089834865,Nocturnal
Bettongia lesueur,SW,1,2,B,680.0,680.0,Bettongia,0,F,ST,N,2,2.832508912706236,2.832508912706236,2.832508912706236,6,smaller,0.0,1.0,35,0.0,2.8328281295393536,2.730378468587643,-0.27129480824972063,2,1,0.10213044411859329,Nocturnal
Dasyurus geoffroii,SW,0,3,F,890.0,1100.0,Dasyurus,1,A,ST,N,1,2.949390006644913,2.949390006644913,3.041392685158225,7,smaller,0.16788128901085148,1.4719101123595506,37,0.04139268515822492,3.1020905255118367,3.0,-Inf,1,1,0.04139268515822492,Nocturnal
Macrotis lagotis,SW,1,3,F,950.0,1350.0,Macrotis,1,A,ST,N,1,2.9777236052888476,2.9777236052888476,3.130333768495006,7,smaller,0.26531444339744664,1.8421052631578947,39,0.0,3.1986570869544226,3.103803720955957,-Inf,1,1,0.026530047539049306,Nocturnal
Pseudocheirus occidentalis,SW,0,3,B,1e3,1e3,Pseudocheirus,0,H,A,N,1,3.0,3.0,3.0,7,smaller,0.0,1.0,40,0.0,3.041392685158225,2.8779469516291885,-Inf,1,1,0.12205304837081155,Nocturnal
Bettongia penicillata,SW,1,3,F,1125.0,1270.0,Bettongia,1,F,T,N,2,3.0511525224473814,3.0511525224473814,3.103803720955957,7,smaller,0.09960391741292779,1.2577777777777779,41,0.026530047539049306,3.130333768495006,3.1020905255118367,0.27129480824972063,2,1,0.0017131954441200747,Nocturnal
Lagorchestes hirsutus,SW,1,2,F,1310.0,1265.0,Lagorchestes,1,H,T,N,1,3.1172712956557644,3.1172712956557644,3.1020905255118367,7,larger,0.03091146498101602,1.0737704918032787,44,0.10209052551183673,3.103803720955957,3.041392685158225,-Inf,1,1,0.06069784035361181,Nocturnal
Oryctolagus cuniculus,SW,0,3,F,1570.0,1580.0,Oryctolagus,1,H,ST,CR,1,3.1958996524092336,3.1958996524092336,3.1986570869544226,8,smaller,0.005497471911217745,1.0127388535031847,46,0.0,3.2041199826559246,3.130333768495006,-Inf,1,1,0.06832331845941653,Diurnal
Lagostrophus fasciatus,SW,1,2,B,1600.0,1600.0,Lagostrophus,0,H,T,N,1,3.2041199826559246,3.2041199826559246,3.2041199826559246,8,smaller,0.0,1.0,48,0.005462895701501935,3.4191293077419758,3.1986570869544226,-Inf,1,1,0.005462895701501935,Nocturnal
Trichosurus vulpecula,SW,0,3,F,2350.0,2625.0,Trichosurus,1,H,A,N,1,3.3710678622717363,3.3710678622717363,3.4191293077419758,8,smaller,0.09133013562721982,1.2340425531914894,50,0.05799194697768684,3.4771212547196626,3.2041199826559246,-Inf,1,1,0.2150093250860512,Nocturnal
Setonix brachyurus,SW,0,2,F,2550.0,3e3,Setonix,1,H,T,N,1,3.406540180433955,3.406540180433955,3.4771212547196626,8,smaller,0.13127891463931898,1.3529411764705883,51,0.0,3.6020599913279625,3.4191293077419758,-Inf,1,1,0.05799194697768684,Nocturnal
Petrogale lateralis,SW,1,2,F,3500.0,4e3,Petrogale,1,H,T,N,1,3.5440680443502757,3.5440680443502757,3.6020599913279625,9,smaller,0.10914446942506807,1.2857142857142858,54,0.0,3.6532125137753435,3.4771212547196626,-Inf,1,1,0.1249387366082999,Nocturnal
Felis catus,SW,0,3,F,3750.0,4550.0,Felis,1,A,T,N,1,3.574031267727719,3.574031267727719,3.6580113966571126,9,smaller,0.15432251429350963,1.4266666666666667,55,0.0,3.7745169657285498,3.6532125137753435,-Inf,1,1,0.0047988828817691065,Nocturnal
Tachyglossus aculeatus,SW,0,3,B,4500.0,4500.0,Tachyglossus,0,A,ST,N,1,3.6532125137753435,3.6532125137753435,3.6532125137753435,9,smaller,0.0,1.0,57,0.051152522447381,3.6580113966571126,3.6020599913279625,-Inf,1,1,0.051152522447381,Nocturnal
Vulpes vulpes,SW,0,3,F,5400.0,5950.0,Vulpes,1,A,T,N,1,3.7323937598229686,3.7323937598229686,3.7745169657285498,10,smaller,0.08051959681988707,1.2037037037037037,59,0.0,3.8129133566428557,3.6580113966571126,-Inf,1,1,0.11650556907143717,Nocturnal
Macropus eugenii,SW,0,3,F,5500.0,6500.0,Macropus,1,H,T,N,5,3.7403626894942437,3.7403626894942437,3.8129133566428557,10,smaller,0.13469857389745618,1.3636363636363635,60,0.03839639091430591,3.9030899869919438,3.7745169657285498,-0.09017663034908807,5,2,0.03839639091430591,Nocturnal
Macropus irma,SW,0,3,B,8e3,8e3,Macropus,0,H,T,CR,5,3.9030899869919438,3.9030899869919438,3.9030899869919438,10,smaller,0.0,1.0,63,0.0,4.146128035678238,3.8129133566428557,0.09017663034908807,5,2,0.09017663034908807,Diurnal
Canis lupus,SW,0,2,F,13e3,14e3,Canis,1,A,T,C,1,4.113943352306837,4.113943352306837,4.146128035678238,11,smaller,0.062147906748844434,1.1538461538461537,64,0.0,4.40440605092127,3.9030899869919438,-Inf,1,1,0.24303804868629442,Nocturnal
Macropus robustus,SW,0,2,F,17125.0,25375.0,Macropus,1,H,T,N,5,4.233630580164463,4.233630580164463,4.40440605092127,11,smaller,0.2930317128460012,1.9635036496350364,66,0.2582780152430315,4.525044807036846,4.146128035678238,0.5013160639293259,5,3,0.2582780152430315,Nocturnal
Macropus rufus,SW,0,1,F,25e3,4e4,Macropus,1,H,T,N,5,4.3979400086720375,4.3979400086720375,4.6020599913279625,11,smaller,0.3424226808222063,2.2,67,0.3336991124173494,4.935759103745312,4.562292864456475,0.03976712687148787,5,3,0.03976712687148787,Nocturnal
Capra hircus,SW,0,1,F,27e3,33500.0,Capra,1,H,T,D,1,4.431363764158987,4.431363764158987,4.525044807036846,11,smaller,0.17069622716897506,1.4814814814814814,68,0.37891677135860746,4.562292864456475,4.40440605092127,-Inf,1,1,0.12063875611557595,Diurnal
Macropus fuliginosus,SW,0,3,F,28e3,36500.0,Macropus,1,H,T,N,5,4.447158031342219,4.447158031342219,4.562292864456475,11,smaller,0.20605448243312446,1.6071428571428572,69,0.37346623928883727,4.6020599913279625,4.525044807036846,0.15788681353520495,5,3,0.037248057419629,Nocturnal
Sus scrofa,SW,0,3,F,67500.0,86250.0,Sus,1,F,T,N,1,4.829303772831025,4.829303772831025,4.935759103745312,11,smaller,0.19188552623891317,1.5555555555555556,74,0.0,NA,4.6020599913279625,-Inf,1,1,0.3336991124173494,Nocturnal
