scientific,genus,region,sex,wt,avg_wt,dimorph,diet,strata,activity,log_wt,log_avg_wt,reg_congen,logWtAnalysis,gap,gapNum,griLump,griEdge,bcartLump,bcartEdge,ssdSplitGRI,ssdSplitBCART
Potorous gilbertii,Potorous,SW,M,985,948.5,1,F,T,N,2.99343623,2.977037335,2,2.99343623,0.157,NA,9,,5,,0,0
Potorous tridactylus,Potorous,SW,F,1020,1100,1,F,T,N,3.008600172,3.041392685,2,3.008600172,0.597,NA,9,,5,,,0
Bettongia penicillata,Bettongia,SW,F,1125,1270,1,F,T,N,3.051152522,3.103803721,2,3.051152522,0.4159,NA,9,,5,,,0
Potorous tridactylus,Potorous,SW,M,1180,1100,1,F,T,N,3.071882007,3.041392685,2,3.071882007,0.1645,NA,9,,5,,,0
Lagorchestes hirsutus,Lagorchestes,SW,M,1220,1265,1,H,T,N,3.086359831,3.102090526,1,3.086359831,0.6002,NA,9,,5,,,0
Lagorchestes hirsutus,Lagorchestes,SW,F,1310,1265,1,H,T,N,3.117271296,3.102090526,1,3.117271296,0.5962,NA,9,,5,,,0
Bettongia penicillata,Bettongia,SW,M,1415,1270,1,F,T,N,3.15075644,3.103803721,2,3.15075644,0.7102,NA,9,,5,,,0
Lagostrophus fasciatus,Lagostrophus,SW,B,1600,1600,0,H,T,N,3.204119983,3.204119983,1,3.204119983,0.5786,NA,9,,5,,0,0
Setonix brachyurus,Setonix,SW,F,2550,3000,1,H,T,N,3.40654018,3.477121255,1,3.40654018,0.6866,NA,10,,6,,,0
Setonix brachyurus,Setonix,SW,M,3450,3000,1,H,T,N,3.537819095,3.477121255,1,3.537819095,0.1465,NA,11,3.537819095,6,,,0
Petrogale lateralis,Petrogale,SW,F,3500,4000,1,H,T,N,3.544068044,3.602059991,1,3.544068044,0.5377,NA,11,,6,,,0
Felis catus,Felis,SW,F,3750,4550,1,A,T,N,3.574031268,3.658011397,1,3.574031268,0.8156,1,11,,6,,,0
Petrogale lateralis,Petrogale,SW,M,4500,4000,1,H,T,N,3.653212514,3.602059991,1,3.653212514,0.1434,NA,12,3.653212514,6,,,0
Felis catus,Felis,SW,M,5350,4550,1,A,T,N,3.728353782,3.658011397,1,3.728353782,0.1273,NA,12,,6,,,0
Vulpes vulpes,Vulpes,SW,F,5400,5950,1,A,T,N,3.73239376,3.774516966,1,3.73239376,0.122,NA,12,,6,,,0
Macropus eugenii,Macropus,SW,F,5500,6500,1,H,T,N,3.740362689,3.812913357,5,3.740362689,0.6915,NA,12,,6,,,0
Vulpes vulpes,Vulpes,SW,M,6500,5950,1,A,T,N,3.812913357,3.774516966,1,3.812913357,0.6863,NA,12,,6,,,0
Macropus eugenii,Macropus,SW,M,7500,6500,1,H,T,N,3.875061263,3.812913357,5,3.875061263,0.2998,NA,12,,6,,,0
Macropus irma,Macropus,SW,B,8000,8000,0,H,T,CR,3.903089987,3.903089987,5,3.903089987,0.9672,1,12,,6,,0,0
Canis lupus,Canis,SW,F,13000,14000,1,A,T,C,4.113943352,4.146128036,1,4.113943352,0.6216,NA,13,4.113943352,7,4.113943352,,0
Canis lupus,Canis,SW,M,15000,14000,1,A,T,C,4.176091259,4.146128036,1,4.176091259,0.51,NA,13,,7,,,0
Macropus robustus,Macropus,SW,F,17125,25375,1,H,T,N,4.23363058,4.404406051,5,4.23363058,0.8717,1,13,,7,,,0
Macropus rufus,Macropus,SW,F,25000,40000,1,H,T,N,4.397940009,4.602059991,5,4.397940009,0.3613,NA,14,4.397940009,7,,,0
Capra hircus,Capra,SW,F,27000,33500,1,H,T,D,4.431363764,4.525044807,1,4.431363764,0.2101,NA,14,,7,,,0
Macropus fuliginosus,Macropus,SW,F,28000,36500,1,H,T,N,4.447158031,4.562292864,5,4.447158031,0.5689,NA,14,,7,,,0
Macropus robustus,Macropus,SW,M,33625,25375,1,H,T,N,4.526662293,4.404406051,5,4.526662293,0.5326,NA,14,,7,,,0
Capra hircus,Capra,SW,M,40000,33500,1,H,T,D,4.602059991,4.525044807,1,4.602059991,0.3278,NA,14,,7,,,0
Macropus fuliginosus,Macropus,SW,M,45000,36500,1,H,T,N,4.653212514,4.562292864,5,4.653212514,0.3981,NA,14,,7,,,0
Macropus rufus,Macropus,SW,M,55000,40000,1,H,T,N,4.740362689,4.602059991,5,4.740362689,0.3235,NA,14,,7,,,0
Sus scrofa,Sus,SW,F,67500,86250,1,F,T,N,4.829303773,4.935759104,1,4.829303773,0.4004,NA,14,,7,,,0
Sus scrofa,Sus,SW,M,105000,86250,1,F,T,N,5.021189299,4.935759104,1,5.021189299,NA,NA,14,,7,,,0
Pseudomys hermannsburgensis,Pseudomys,SW,B,12,12,0,F,ST,N,1.079181246,1.079181246,7,1.079181246,0.0398,NA,1,,1,,0,0
Pseudomys desertor,Pseudomys,SW,B,25,25,0,F,ST,N,1.397940009,1.397940009,7,1.397940009,0.1234,NA,2,1.397940009,1,,0,0
Pseudomys albocinereus,Pseudomys,SW,F,26,30.5,1,F,ST,N,1.414973348,1.484299839,7,1.414973348,0.7946,1,2,,1,,1,1
Pseudomys occidentalis,Pseudomys,SW,B,34,34,0,F,ST,N,1.531478917,1.531478917,7,1.531478917,0.1373,NA,3,,2,,0,0
Notomys alexis,Notomys,SW,B,35,35,1,F,ST,N,1.544068044,1.544068044,2,1.544068044,0.1368,NA,3,,2,,0,0
Pseudomys albocinereus,Pseudomys,SW,M,35,30.5,1,F,ST,N,1.544068044,1.484299839,7,1.544068044,0.821,1,3,,2,,1,1
Notomys mitchelli,Notomys,SW,B,52,52,0,F,ST,N,1.716003344,1.716003344,2,1.716003344,0.5464,NA,4,,2,,0,0
Rattus tunneyi,Rattus,SW,B,86,86,0,F,ST,N,1.934498451,1.934498451,4,1.934498451,0.9833,1,5,,2,,0,0
Rattus fuscipes,Rattus,SW,B,132.5,132.5,0,F,ST,N,2.122215878,2.122215878,4,2.122215878,0.7632,1,6,2.122215878,3,2.122215878,0,0
Rattus norvegicus,Rattus,SW,B,320,320,0,F,ST,N,2.505149978,2.505149978,4,2.505149978,0.5703,NA,7,,3,,0,0
Myrmecobius fasciatus,Myrmecobius,SW,F,478,537.5,1,A,ST,D,2.679427897,2.730378469,1,2.679427897,0.8941,1,8,2.679427897,4,2.679427897,0,0
Myrmecobius fasciatus,Myrmecobius,SW,M,597,537.5,1,A,ST,D,2.775974331,2.730378469,1,2.775974331,0.1536,NA,8,,4,,0,0
Bettongia lesueur,Bettongia,SW,B,680,680,0,F,ST,N,2.832508913,2.832508913,2,2.832508913,0.7046,NA,8,,4,,0,0
Dasyurus geoffroii,Dasyurus,SW,F,890,1100,1,A,ST,N,2.949390007,3.041392685,1,2.949390007,0.1611,NA,9,2.949390007,5,2.949390007,0,0
Macrotis lagotis,Macrotis,SW,F,950,1350,1,A,ST,N,2.977723605,3.130333768,1,2.977723605,0.4134,NA,9,,5,,0,0
Dasyurus geoffroii,Dasyurus,SW,M,1310,1100,1,A,ST,N,3.117271296,3.041392685,1,3.117271296,0.1601,NA,9,,5,,0,0
Oryctolagus cuniculus,Oryctolagus,SW,F,1570,1580,1,H,ST,CR,3.195899652,3.198657087,1,3.195899652,0.1596,NA,9,,5,,,0
Oryctolagus cuniculus,Oryctolagus,SW,M,1590,1580,1,H,ST,CR,3.201397124,3.198657087,1,3.201397124,0.1548,NA,9,,5,,,0
Macrotis lagotis,Macrotis,SW,M,1750,1350,1,A,ST,N,3.243038049,3.130333768,1,3.243038049,0.9455,1,9,,5,,0,0
Tachyglossus aculeatus,Tachyglossus,SW,B,4500,4500,0,A,ST,N,3.653212514,3.653212514,1,3.653212514,0.7951,1,12,,6,,0,0
Antechinus flavipes,Antechinus,SW,F,34,45,1,A,AT,N,1.531478917,1.653212514,1,1.531478917,0.1296,NA,3,,2,,1,0
Phascogale calura,Phascogale,SW,F,43,51.5,1,A,AT,N,1.633468456,1.711807229,2,1.633468456,0.3783,NA,4,1.633468456,2,,0,0
Antechinus flavipes,Antechinus,SW,M,56,45,1,A,AT,N,1.748188027,1.653212514,1,1.748188027,0.1387,NA,4,,2,,1,0
Phascogale calura,Phascogale,SW,M,60,51.5,1,A,AT,N,1.77815125,1.711807229,2,1.77815125,0.7622,1,4,,2,,0,0
Tarsipes rostratus,Tarsipes,SW,B,9,9,0,F,A,N,0.954242509,0.954242509,1,0.954242509,0.3386,NA,1,,1,,0,0
Cercartetus concinnus,Cercartetus,SW,B,13,13,0,A,A,N,1.113943352,1.113943352,1,1.113943352,0.3965,NA,1,,1,,0,0
Phascogale tapoatafa,Phascogale,SW,F,156,193.5,1,A,A,N,2.193124598,2.286680969,2,2.193124598,0.9368,1,6,,3,,0,0
Phascogale tapoatafa,Phascogale,SW,M,231,193.5,1,A,A,N,2.36361198,2.286680969,2,2.36361198,0.8394,1,6,,3,,0,0
Pseudocheirus occidentalis,Pseudocheirus,SW,B,1000,1000,0,H,A,N,3,3,1,3,0.1686,NA,9,,5,,0,0
Trichosurus vulpecula,Trichosurus,SW,F,2350,2625,1,H,A,N,3.371067862,3.419129308,1,3.371067862,0.562,NA,10,3.371067862,6,3.371067862,,0
Trichosurus vulpecula,Trichosurus,SW,M,2900,2625,1,H,A,N,3.462397998,3.419129308,1,3.462397998,0.8434,1,10,,6,,,0
