,scientific,genus,region.x,sex,wt,avg_wt,dimorph,diet,strata,activity,log_wt,log_avg_wt,reg_congen,logWtAnalysis,gap,gapNum,2RuleGap,singleRuleGap,3RuleGap
26,Dasyurus geoffroii,Dasyurus,SW,F,890,1100,1,A,ST,N,2.949390007,3.041392685,1,3.041392685,0.7559,1,8,10,6
27,Oryctolagus cuniculus,Oryctolagus,SW,F,1570,1580,1,H,ST,CR,3.195899652,3.198657087,1,3.198657087,0.8587,1,8,11,6
28,Trichosurus vulpecula,Trichosurus,SW,F,2350,2625,1,H,A,N,3.371067862,3.419129308,1,3.419129308,0.3568,NA,9,12,7
29,Setonix brachyurus,Setonix,SW,F,2550,3000,1,H,T,N,3.40654018,3.477121255,1,3.477121255,0.7756,1,9,12,7
30,Tachyglossus aculeatus,Tachyglossus,SW,B,4500,4500,0,A,ST,N,3.653212514,3.653212514,1,3.653212514,0.0586,NA,10,13,7
31,Felis catus,Felis,SW,F,3750,4550,1,A,T,N,3.574031268,3.658011397,1,3.658011397,0.6028,1,10,13,7
32,Vulpes vulpes,Vulpes,SW,F,5400,5950,1,A,T,N,3.73239376,3.774516966,1,3.774516966,0.2521,NA,11,14,8
33,Macropus eugenii,Macropus,SW,F,5500,6500,1,H,T,N,3.740362689,3.812913357,5,3.812913357,0.4622,NA,11,14,8
34,Macropus irma,Macropus,SW,B,8000,8000,0,H,T,CR,3.903089987,3.903089987,5,3.903089987,0.8094,1,11,14,8
35,Canis lupus,Canis,SW,F,13000,14000,1,A,T,C,4.113943352,4.146128036,1,4.146128036,0.8098,1,11,15,8
36,Macropus robustus,Macropus,SW,F,17125,25375,1,H,T,N,4.23363058,4.404406051,5,4.404406051,0.4743,NA,12,16,9
37,Capra hircus,Capra,SW,F,27000,33500,1,H,T,D,4.431363764,4.525044807,1,4.525044807,0.1647,NA,12,16,9
38,Macropus fuliginosus,Macropus,SW,F,28000,36500,1,H,T,N,4.447158031,4.562292864,5,4.562292864,0.1311,NA,12,16,9
39,Macropus rufus,Macropus,SW,F,25000,40000,1,H,T,N,4.397940009,4.602059991,5,4.602059991,0.5318,1,12,16,9
40,Sus scrofa,Sus,SW,F,67500,86250,1,F,T,N,4.829303773,4.935759104,1,4.935759104,NA,NA,12,17,9
