scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,log_avg_wt,logWtAnalysis,discontinuity,discontinuityBinary,griLump,bcartLump,rank,bcartsplitcd
Macrotis lagotis,SW,1,3,M,1750.0,1350.0,Macrotis,1.0,A,ST,N,1,3.243038049,3.130333768,3.130333768,0.57827,NA,7,4,32,1.0
Oryctolagus cuniculus,SC,0,3,M,1590.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.201397124,3.198657087,3.198657087,0.90219,NA,4,3,25,0.0
Oryctolagus cuniculus,SW,0,3,M,1590.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.201397124,3.198657087,3.198657087,0.08767,1,8,4,33,0.0
Lagostrophus fasciatus,SW,1,2,B,1600.0,1600.0,Lagostrophus,0.0,H,T,N,1,3.204119983,3.204119983,3.204119983,0.92323,NA,8,4,34,0.0
Dasyurus maculatus,SC,1,1,M,3e3,2500.0,Dasyurus,1.0,A,T,N,3,3.477121255,3.397940009,3.397940009,0.23469,1,5,4,26,1.0
Trichosurus vulpecula,SC,0,3,M,2900.0,2625.0,Trichosurus,1.0,H,A,N,1,3.462397998,3.419129308,3.419129308,0.68956,NA,5,4,27,1.0
Trichosurus vulpecula,SW,0,3,M,2900.0,2625.0,Trichosurus,1.0,H,A,N,1,3.462397998,3.419129308,3.419129308,0.46715,1,8,5,35,1.0
Setonix brachyurus,SW,0,2,M,3450.0,3e3,Setonix,1.0,H,T,N,1,3.537819095,3.477121255,3.477121255,0.73172,NA,8,5,36,1.0
Lepus europaeus,SC,0,3,M,3200.0,3350.0,Lepus,1.0,H,ST,N,1,3.505149978,3.525044807,3.525044807,0.78262,NA,5,4,28,0.0
Petrogale lateralis,SW,1,2,M,4500.0,4e3,Petrogale,1.0,H,T,N,1,3.653212514,3.602059991,3.602059991,0.44175,1,9,5,37,0.0
Tachyglossus aculeatus,SC,0,3,B,4500.0,4500.0,Tachyglossus,0.0,A,ST,N,1,3.653212514,3.653212514,3.653212514,0.08093,1,6,4,29,0.0
Tachyglossus aculeatus,SW,0,3,B,4500.0,4500.0,Tachyglossus,0.0,A,ST,N,1,3.653212514,3.653212514,3.653212514,0.07653,1,9,5,38,0.0
Felis catus,SC,0,3,M,5350.0,4550.0,Felis,1.0,A,T,N,1,3.728353782,3.658011397,3.658011397,0.72196,NA,6,4,30,0.0
Felis catus,SW,0,3,M,5350.0,4550.0,Felis,1.0,A,T,N,1,3.728353782,3.658011397,3.658011397,0.68216,NA,9,5,39,0.0
Vulpes vulpes,SC,0,3,M,6500.0,5950.0,Vulpes,1.0,A,T,N,1,3.812913357,3.774516966,3.774516966,0.33467,1,6,4,31,0.0
Vulpes vulpes,SW,0,3,M,6500.0,5950.0,Vulpes,1.0,A,T,N,1,3.812913357,3.774516966,3.774516966,0.29986,1,10,5,40,0.0
Macropus eugenii,SC,1,3,M,7500.0,6500.0,Macropus,1.0,H,T,N,4,3.875061263,3.812913357,3.812913357,0.70238,NA,6,4,32,0.0
Macropus eugenii,SW,0,3,M,7500.0,6500.0,Macropus,1.0,H,T,N,5,3.875061263,3.812913357,3.812913357,0.51817,1,10,5,41,0.0
Macropus irma,SW,0,3,B,8e3,8e3,Macropus,0.0,H,T,CR,5,3.903089987,3.903089987,3.903089987,0.83721,NA,10,5,42,0.0
Petrogale xanthopus,SC,0,2,B,8500.0,8500.0,Petrogale,0.0,H,T,N,1,3.929418926,3.929418926,3.929418926,0.57187,NA,7,4,33,0.0
Phascolarctos cinereus,SC,1,1,M,12e3,10250.0,Phascolarctos,1.0,H,A,N,1,4.079181246,4.010723865,4.010723865,0.72028,NA,7,4,34,1.0
Canis lupus,SC,1,3,M,15e3,14e3,Canis,1.0,A,T,N,1,4.176091259,4.146128036,4.146128036,0.91251,NA,7,5,35,0.0
Canis lupus,SW,0,2,M,15e3,14e3,Canis,1.0,A,T,C,1,4.176091259,4.146128036,4.146128036,0.82497,NA,11,6,43,0.0
Macropus robustus,SC,0,3,M,33625.0,25375.0,Macropus,1.0,H,T,N,4,4.526662293,4.404406051,4.404406051,0.17925,1,8,5,36,0.0
Macropus robustus,SW,0,2,M,33625.0,25375.0,Macropus,1.0,H,T,N,5,4.526662293,4.404406051,4.404406051,0.5079,1,11,6,44,0.0
Lasiorhinus latifrons,SC,0,1,M,27500.0,27125.0,Lasiorhinus,1.0,H,ST,N,1,4.439332694,4.433369747,4.433369747,0.49256,1,8,5,37,0.0
Capra hircus,SC,0,2,M,4e4,33500.0,Capra,1.0,H,T,D,1,4.602059991,4.525044807,4.525044807,0.24372,1,8,5,38,1.0
Capra hircus,SW,0,1,M,4e4,33500.0,Capra,1.0,H,T,D,1,4.602059991,4.525044807,4.525044807,0.17306,1,11,6,45,0.0
Macropus fuliginosus,SC,0,3,M,45e3,36500.0,Macropus,1.0,H,T,N,4,4.653212514,4.562292864,4.562292864,0.21728,1,8,5,39,1.0
Macropus fuliginosus,SW,0,3,M,45e3,36500.0,Macropus,1.0,H,T,N,5,4.653212514,4.562292864,4.562292864,0.13185,1,11,6,46,0.0
Macropus rufus,SC,0,3,M,55e3,4e4,Macropus,1.0,H,T,N,4,4.740362689,4.602059991,4.602059991,0.65719,NA,8,5,40,1.0
Macropus rufus,SW,0,1,M,55e3,4e4,Macropus,1.0,H,T,N,5,4.740362689,4.602059991,4.602059991,0.50906,1,11,6,47,0.0
Dama dama,SC,0,2,M,8e4,63e3,Dama,1.0,H,T,CR,1,4.903089987,4.799340549,4.799340549,0.41992,1,9,5,41,0.0
Sus scrofa,SC,0,1,M,105e3,86250.0,Sus,1.0,F,T,N,1,5.021189299,4.935759104,4.935759104,0.30329,1,9,5,42,0.0
Sus scrofa,SW,0,3,M,105e3,86250.0,Sus,1.0,F,T,N,1,5.021189299,4.935759104,4.935759104,NA,NA,11,6,48,0.0
Cervus elaphus,SC,0,1,M,147e3,119500.0,Cervus,1.0,H,T,CR,1,5.167317335,5.077367905,5.077367905,NA,NA,9,5,43,0.0
