scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,logWtAnalysis,log_avg_wt
Felis catus,SW,0,3,F,3750.0,4550.0,Felis,1.0,A,T,N,1,3.574031267727719,3.574031267727719,3.6580113966571126
Hydromys chrysogaster,SW,0,2,M,755.0,680.5,Hydromys,1.0,A,AT,N,1,2.8779469516291885,2.8779469516291885,2.8328281295393536
Hydromys chrysogaster,SW,0,2,F,606.0,680.5,Hydromys,1.0,A,AT,N,1,2.782472624166286,2.782472624166286,2.8328281295393536
Isoodon obesulus,SW,0,3,M,890.0,755.0,Isoodon,1.0,A,T,C,1,2.949390006644913,2.949390006644913,2.8779469516291885
Isoodon obesulus,SW,0,3,F,620.0,755.0,Isoodon,1.0,A,T,C,1,2.792391689498254,2.792391689498254,2.8779469516291885
Lagorchestes hirsutus,SW,1,2,M,1220.0,1265.0,Lagorchestes,1.0,H,T,N,1,3.0863598306747484,3.0863598306747484,3.1020905255118367
Lagorchestes hirsutus,SW,1,2,F,1310.0,1265.0,Lagorchestes,1.0,H,T,N,1,3.1172712956557644,3.1172712956557644,3.1020905255118367
Lagostrophus fasciatus,SW,1,2,B,1600.0,1600.0,Lagostrophus,0.0,H,T,N,1,3.2041199826559246,3.2041199826559246,3.2041199826559246
Macropus eugenii,SW,0,3,M,7500.0,6500.0,Macropus,1.0,H,T,N,5,3.8750612633917,3.8750612633917,3.8129133566428557
Macropus eugenii,SW,0,3,F,5500.0,6500.0,Macropus,1.0,H,T,N,5,3.7403626894942437,3.7403626894942437,3.8129133566428557
Macropus fuliginosus,SW,0,3,M,45e3,36500.0,Macropus,1.0,H,T,N,5,4.653212513775344,4.653212513775344,4.562292864456475
Macropus fuliginosus,SW,0,3,F,28e3,36500.0,Macropus,1.0,H,T,N,5,4.447158031342219,4.447158031342219,4.562292864456475
Macropus irma,SW,0,3,B,8e3,8e3,Macropus,0.0,H,T,CR,5,3.9030899869919438,3.9030899869919438,3.9030899869919438
Macropus robustus,SW,0,2,M,33625.0,25375.0,Macropus,1.0,H,T,N,5,4.526662293010465,4.526662293010465,4.40440605092127
Macropus robustus,SW,0,2,F,17125.0,25375.0,Macropus,1.0,H,T,N,5,4.233630580164463,4.233630580164463,4.40440605092127
Macropus rufus,SW,0,1,M,55e3,4e4,Macropus,1.0,H,T,N,5,4.740362689494244,4.740362689494244,4.6020599913279625
Macropus rufus,SW,0,1,F,25e3,4e4,Macropus,1.0,H,T,N,5,4.3979400086720375,4.3979400086720375,4.6020599913279625
Macrotis lagotis,SW,1,3,M,1750.0,1350.0,Macrotis,1.0,A,ST,N,1,3.2430380486862944,3.2430380486862944,3.130333768495006
Macrotis lagotis,SW,1,3,F,950.0,1350.0,Macrotis,1.0,A,ST,N,1,2.9777236052888476,2.9777236052888476,3.130333768495006
Mus musculus,SW,0,3,B,16.5,16.5,Mus,0.0,F,T,N,1,1.2174839442139063,1.2174839442139063,1.2174839442139063
Myrmecobius fasciatus,SW,1,3,M,597.0,537.5,Myrmecobius,1.0,A,ST,D,1,2.775974331129369,2.775974331129369,2.730378468587643
Myrmecobius fasciatus,SW,1,3,F,478.0,537.5,Myrmecobius,1.0,A,ST,D,1,2.6794278966121188,2.6794278966121188,2.730378468587643
Notomys alexis,SW,0,1,B,35.0,35.0,Notomys,0.0,F,ST,N,2,1.5440680443502757,1.5440680443502757,1.5440680443502757
Notomys mitchelli,SW,0,3,B,52.0,52.0,Notomys,0.0,F,ST,N,2,1.7160033436347992,1.7160033436347992,1.7160033436347992
Oryctolagus cuniculus,SW,0,3,M,1590.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.2013971243204513,3.2013971243204513,3.1986570869544226
Oryctolagus cuniculus,SW,0,3,F,1570.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.1958996524092336,3.1958996524092336,3.1986570869544226
Perameles bougainville,SW,1,3,M,212.0,215.0,Perameles,1.0,A,T,N,1,2.326335860928751,2.326335860928751,2.3324384599156054
Perameles bougainville,SW,1,3,F,218.0,215.0,Perameles,1.0,A,T,N,1,2.3384564936046046,2.3384564936046046,2.3324384599156054
Petrogale lateralis,SW,1,2,M,4500.0,4e3,Petrogale,1.0,H,T,N,1,3.6532125137753435,3.6532125137753435,3.6020599913279625
Petrogale lateralis,SW,1,2,F,3500.0,4e3,Petrogale,1.0,H,T,N,1,3.5440680443502757,3.5440680443502757,3.6020599913279625
Phascogale calura,SW,0,2,M,60.0,51.5,Phascogale,1.0,A,AT,N,2,1.7781512503836436,1.7781512503836436,1.711807229041191
Phascogale calura,SW,0,2,F,43.0,51.5,Phascogale,1.0,A,AT,N,2,1.6334684555795864,1.6334684555795864,1.711807229041191
Phascogale tapoatafa,SW,0,3,M,231.0,193.5,Phascogale,1.0,A,A,N,2,2.3636119798921444,2.3636119798921444,2.28668096935493
Phascogale tapoatafa,SW,0,3,F,156.0,193.5,Phascogale,1.0,A,A,N,2,2.1931245983544616,2.1931245983544616,2.28668096935493
Pseudocheirus occidentalis,SW,0,3,B,1e3,1e3,Pseudocheirus,0.0,H,A,N,1,3.0,3.0,3.0
Pseudomys albocinereus,SW,0,3,M,35.0,30.5,Pseudomys,1.0,F,ST,N,5,1.5440680443502757,1.5440680443502757,1.4842998393467859
Pseudomys albocinereus,SW,0,3,F,26.0,30.5,Pseudomys,1.0,F,ST,N,5,1.414973347970818,1.414973347970818,1.4842998393467859
Pseudomys desertor,SW,1,1,B,25.0,25.0,Pseudomys,0.0,F,ST,N,5,1.3979400086720377,1.3979400086720377,1.3979400086720377
Pseudomys hermannsburgensis,SW,0,1,B,12.0,12.0,Pseudomys,0.0,F,ST,N,5,1.0791812460476249,1.0791812460476249,1.0791812460476249
Pseudomys occidentalis,SW,1,2,B,34.0,34.0,Pseudomys,0.0,F,ST,N,5,1.5314789170422551,1.5314789170422551,1.5314789170422551
Pseudomys shortridgei,SW,0,3,B,70.0,70.0,Pseudomys,0.0,F,T,N,5,1.845098040014257,1.845098040014257,1.845098040014257
Rattus fuscipes,SW,0,2,B,132.5,132.5,Rattus,0.0,F,ST,N,4,2.1222158782728267,2.1222158782728267,2.1222158782728267
Rattus norvegicus,SW,0,2,B,320.0,320.0,Rattus,0.0,F,ST,N,4,2.505149978319906,2.505149978319906,2.505149978319906
Rattus rattus,SW,0,3,B,280.0,280.0,Rattus,0.0,F,T,N,4,2.4471580313422194,2.4471580313422194,2.4471580313422194
Rattus tunneyi,SW,1,2,B,66.0,66.0,Rattus,0.0,F,ST,N,4,1.8195439355418688,1.8195439355418688,1.8195439355418688
Setonix brachyurus,SW,0,2,M,3450.0,3e3,Setonix,1.0,H,T,N,1,3.537819095073274,3.537819095073274,3.4771212547196626
Setonix brachyurus,SW,0,2,F,2550.0,3e3,Setonix,1.0,H,T,N,1,3.406540180433955,3.406540180433955,3.4771212547196626
Sminthopsis crassicaudata,SW,0,3,B,15.0,15.0,Sminthopsis,0.0,A,T,N,5,1.1760912590556813,1.1760912590556813,1.1760912590556813
Sminthopsis dolichura,SW,0,2,M,14.8,13.6,Sminthopsis,1.0,A,T,N,5,1.1702617153949575,1.1702617153949575,1.1335389083702174
Sminthopsis dolichura,SW,0,2,F,12.4,13.6,Sminthopsis,1.0,A,T,N,5,1.0934216851622351,1.0934216851622351,1.1335389083702174
Sminthopsis gilberti,SW,0,2,B,18.0,18.0,Sminthopsis,0.0,A,T,N,5,1.255272505103306,1.255272505103306,1.255272505103306
Sminthopsis granulipes,SW,0,3,B,25.0,25.0,Sminthopsis,0.0,A,T,N,5,1.3979400086720377,1.3979400086720377,1.3979400086720377
Sminthopsis griseoventer,SW,0,3,M,19.0,17.5,Sminthopsis,1.0,A,T,N,5,1.2787536009528289,1.2787536009528289,1.2430380486862944
Sminthopsis griseoventer,SW,0,3,F,16.0,17.5,Sminthopsis,1.0,A,T,N,5,1.2041199826559248,1.2041199826559248,1.2430380486862944
Sus scrofa,SW,0,3,M,105e3,86250.0,Sus,1.0,F,T,N,1,5.021189299069938,5.021189299069938,4.935759103745312
Sus scrofa,SW,0,3,F,67500.0,86250.0,Sus,1.0,F,T,N,1,4.829303772831025,4.829303772831025,4.935759103745312
Tachyglossus aculeatus,SW,0,3,B,4500.0,4500.0,Tachyglossus,0.0,A,ST,N,1,3.6532125137753435,3.6532125137753435,3.6532125137753435
Tarsipes rostratus,SW,0,3,B,9.0,9.0,Tarsipes,0.0,F,A,N,1,0.9542425094393249,0.9542425094393249,0.9542425094393249
Trichosurus vulpecula,SW,0,3,M,2900.0,2625.0,Trichosurus,1.0,H,A,N,1,3.462397997898956,3.462397997898956,3.4191293077419758
Trichosurus vulpecula,SW,0,3,F,2350.0,2625.0,Trichosurus,1.0,H,A,N,1,3.3710678622717363,3.3710678622717363,3.4191293077419758
Vulpes vulpes,SW,0,3,M,6500.0,5950.0,Vulpes,1.0,A,T,N,1,3.8129133566428557,3.8129133566428557,3.7745169657285498
Vulpes vulpes,SW,0,3,F,5400.0,5950.0,Vulpes,1.0,A,T,N,1,3.7323937598229686,3.7323937598229686,3.7745169657285498
