scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,log_avg_wt,logWtAnalysis
Planigale gilesi,SC,0,1,M,11.5,9.2,Planigale,1.0,A,ST,CR,2,1.0606978403536116,0.9637878273455552,1.0606978403536116
Planigale gilesi,SC,0,1,F,6.9,9.2,Planigale,1.0,A,ST,CR,2,0.8388490907372553,0.9637878273455552,0.8388490907372553
Planigale tenuirostris,SC,0,2,M,6.8,6.05,Planigale,1.0,A,ST,N,2,0.8325089127062363,0.7817553746524689,0.8325089127062363
Planigale tenuirostris,SC,0,2,F,5.3,6.05,Planigale,1.0,A,ST,N,2,0.724275869600789,0.7817553746524689,0.724275869600789
Pseudocheirus peregrinus,SC,0,1,B,900.0,900.0,Pseudocheirus,0.0,H,A,N,1,2.9542425094393248,2.9542425094393248,2.9542425094393248
Pseudomys bolami,SC,0,2,B,12.5,12.5,Pseudomys,0.0,F,ST,N,4,1.0969100130080565,1.0969100130080565,1.0969100130080565
Pseudomys desertor,SC,0,2,B,25.0,25.0,Pseudomys,0.0,F,ST,N,4,1.3979400086720377,1.3979400086720377,1.3979400086720377
Pseudomys hermannsburgensis,SC,0,1,B,12.0,12.0,NA,0.0,NA,NA,NA,NA,1.0791812460476249,1.0791812460476249,1.0791812460476249
Rattus fuscipes,SC,0,1,B,132.5,132.5,Rattus,0.0,F,ST,N,5,2.1222158782728267,2.1222158782728267,2.1222158782728267
Rattus rattus,SC,0,3,B,280.0,280.0,Rattus,0.0,F,T,N,5,2.4471580313422194,2.4471580313422194,2.4471580313422194
Sminthopsis crassicaudata,SC,0,3,B,15.0,15.0,Sminthopsis,0.0,A,T,N,3,1.1760912590556813,1.1760912590556813,1.1760912590556813
Sminthopsis macroura,SC,0,2,B,20.0,20.0,Sminthopsis,0.0,A,T,N,3,1.3010299956639813,1.3010299956639813,1.3010299956639813
Sminthopsis murina,SC,0,1,F,14.0,17.0,Sminthopsis,1.0,A,T,N,3,1.146128035678238,1.2304489213782739,1.146128035678238
Sminthopsis murina,SC,0,1,M,20.0,17.0,Sminthopsis,1.0,A,T,N,3,1.3010299956639813,1.2304489213782739,1.3010299956639813
Sus scrofa,SC,0,1,M,105e3,86250.0,Sus,1.0,F,T,N,1,5.021189299069938,4.935759103745312,5.021189299069938
Sus scrofa,SC,0,1,F,67500.0,86250.0,Sus,1.0,F,T,N,1,4.829303772831025,4.935759103745312,4.829303772831025
Tachyglossus aculeatus,SC,0,3,B,4500.0,4500.0,Tachyglossus,0.0,A,ST,N,1,3.6532125137753435,3.6532125137753435,3.6532125137753435
Trichosurus vulpecula,SC,0,3,M,2900.0,2625.0,Trichosurus,1.0,H,A,N,1,3.462397997898956,3.4191293077419758,3.462397997898956
Trichosurus vulpecula,SC,0,3,F,2350.0,2625.0,Trichosurus,1.0,H,A,N,1,3.3710678622717363,3.4191293077419758,3.3710678622717363
Vulpes vulpes,SC,0,3,M,6500.0,5950.0,Vulpes,1.0,A,T,N,1,3.8129133566428557,3.7745169657285498,3.8129133566428557
Vulpes vulpes,SC,0,3,F,5400.0,5950.0,Vulpes,1.0,A,T,N,1,3.7323937598229686,3.7745169657285498,3.7323937598229686
