,scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,logWtAnalysis,log_avg_wt,discontinuity,discontinuityBinary,lumpNum
26,Perameles bougainville,SW,1,3,M,212,215,Perameles,1,A,T,N,1,2.326335861,2.326335861,2.33243846,0.12023,1,5
27,Perameles bougainville,SW,1,3,F,218,215,Perameles,1,A,T,N,1,2.338456494,2.338456494,2.33243846,0.32584,1,5
28,Phascogale tapoatafa,SW,0,3,M,231,193.5,Phascogale,1,A,A,N,2,2.36361198,2.36361198,2.286680969,0.77205,NA,5
29,Rattus rattus,SW,0,3,B,280,280,Rattus,0,F,T,N,4,2.447158031,2.447158031,2.447158031,0.61575,1,6
30,Rattus norvegicus,SW,0,2,B,320,320,Rattus,0,F,ST,N,4,2.505149978,2.505149978,2.505149978,0.96044,NA,6
31,Myrmecobius fasciatus,SW,1,3,F,478,537.5,Myrmecobius,1,A,ST,D,1,2.679427897,2.679427897,2.730378469,0.8391,NA,6
32,Myrmecobius fasciatus,SW,1,3,M,597,537.5,Myrmecobius,1,A,ST,D,1,2.775974331,2.775974331,2.730378469,0.13188,1,7
33,Hydromys chrysogaster,SW,0,2,F,606,680.5,Hydromys,1,A,AT,N,1,2.782472624,2.782472624,2.83282813,0.12986,1,7
34,Isoodon obesulus,SW,0,3,F,620,755,Isoodon,1,A,T,C,1,2.792391689,2.792391689,2.877946952,0.5146,1,7
35,Bettongia lesueur,SW,1,2,B,680,680,Bettongia,0,F,ST,N,2,2.832508913,2.832508913,2.832508913,0.64302,1,7
36,Hydromys chrysogaster,SW,0,2,M,755,680.5,Hydromys,1,A,AT,N,1,2.877946952,2.877946952,2.83282813,0.74227,NA,7
37,Dasyurus geoffroii,SW,0,3,F,890,1100,Dasyurus,1,A,ST,N,1,2.949390007,2.949390007,3.041392685,0.13738,1,8
38,Isoodon obesulus,SW,0,3,M,890,755,Isoodon,1,A,T,C,1,2.949390007,2.949390007,2.877946952,0.36435,1,8
39,Macrotis lagotis,SW,1,3,F,950,1350,Macrotis,1,A,ST,N,1,2.977723605,2.977723605,3.130333768,0.36863,1,8
40,Pseudocheirus occidentalis,SW,0,3,B,1000,1000,Pseudocheirus,0,H,A,N,1,3,3,3,0.66064,1,8
41,Bettongia penicillata,SW,1,3,F,1125,1270,Bettongia,1,F,T,N,2,3.051152522,3.051152522,3.103803721,0.54115,1,8
42,Lagorchestes hirsutus,SW,1,2,M,1220,1265,Lagorchestes,1,H,T,N,1,3.086359831,3.086359831,3.102090526,0.54277,1,8
43,Dasyurus geoffroii,SW,0,3,M,1310,1100,Dasyurus,1,A,ST,N,1,3.117271296,3.117271296,3.041392685,0.14272,1,8
44,Lagorchestes hirsutus,SW,1,2,F,1310,1265,Lagorchestes,1,H,T,N,1,3.117271296,3.117271296,3.102090526,0.54617,1,8
45,Bettongia penicillata,SW,1,3,M,1415,1270,Bettongia,1,F,T,N,2,3.15075644,3.15075644,3.103803721,0.67036,1,8
46,Oryctolagus cuniculus,SW,0,3,F,1570,1580,Oryctolagus,1,H,ST,CR,1,3.195899652,3.195899652,3.198657087,0.14244,1,8
47,Oryctolagus cuniculus,SW,0,3,M,1590,1580,Oryctolagus,1,H,ST,CR,1,3.201397124,3.201397124,3.198657087,0.14183,1,8
48,Lagostrophus fasciatus,SW,1,2,B,1600,1600,Lagostrophus,0,H,T,N,1,3.204119983,3.204119983,3.204119983,0.5413,1,8
49,Macrotis lagotis,SW,1,3,M,1750,1350,Macrotis,1,A,ST,N,1,3.243038049,3.243038049,3.130333768,0.93272,NA,8
50,Trichosurus vulpecula,SW,0,3,F,2350,2625,Trichosurus,1,H,A,N,1,3.371067862,3.371067862,3.419129308,0.53976,1,9
51,Setonix brachyurus,SW,0,2,F,2550,3000,Setonix,1,H,T,N,1,3.40654018,3.40654018,3.477121255,0.65677,1,9
52,Trichosurus vulpecula,SW,0,3,M,2900,2625,Trichosurus,1,H,A,N,1,3.462397998,3.462397998,3.419129308,0.81192,NA,9
53,Setonix brachyurus,SW,0,2,M,3450,3000,Setonix,1,H,T,N,1,3.537819095,3.537819095,3.477121255,0.13559,1,10
54,Petrogale lateralis,SW,1,2,F,3500,4000,Petrogale,1,H,T,N,1,3.544068044,3.544068044,3.602059991,0.51866,1,10
55,Felis catus,SW,0,3,F,3750,4550,Felis,1,A,T,N,1,3.574031268,3.574031268,3.658011397,0.79674,NA,10
56,Petrogale lateralis,SW,1,2,M,4500,4000,Petrogale,1,H,T,N,1,3.653212514,3.653212514,3.602059991,0.12485,1,11
57,Tachyglossus aculeatus,SW,0,3,B,4500,4500,Tachyglossus,0,A,ST,N,1,3.653212514,3.653212514,3.653212514,0.77976,NA,11
58,Felis catus,SW,0,3,M,5350,4550,Felis,1,A,T,N,1,3.728353782,3.728353782,3.658011397,0.12175,1,11
59,Vulpes vulpes,SW,0,3,F,5400,5950,Vulpes,1,A,T,N,1,3.73239376,3.73239376,3.774516966,0.11864,1,11
60,Macropus eugenii,SW,0,3,F,5500,6500,Macropus,1,H,T,N,5,3.740362689,3.740362689,3.812913357,0.67846,1,11
61,Vulpes vulpes,SW,0,3,M,6500,5950,Vulpes,1,A,T,N,1,3.812913357,3.812913357,3.774516966,0.66732,1,11
62,Macropus eugenii,SW,0,3,M,7500,6500,Macropus,1,H,T,N,5,3.875061263,3.875061263,3.812913357,0.2945,1,11
63,Macropus irma,SW,0,3,B,8000,8000,Macropus,0,H,T,CR,5,3.903089987,3.903089987,3.903089987,0.9656,NA,11
64,Canis lupus,SW,0,2,F,13000,14000,Canis,1,A,T,C,1,4.113943352,4.113943352,4.146128036,0.61527,1,12
65,Canis lupus,SW,0,2,M,15000,14000,Canis,1,A,T,C,1,4.176091259,4.176091259,4.146128036,0.50743,1,12
66,Macropus robustus,SW,0,2,F,17125,25375,Macropus,1,H,T,N,5,4.23363058,4.23363058,4.404406051,0.87004,NA,12
67,Macropus rufus,SW,0,1,F,25000,40000,Macropus,1,H,T,N,5,4.397940009,4.397940009,4.602059991,0.35658,1,13
68,Capra hircus,SW,0,1,F,27000,33500,Capra,1,H,T,D,1,4.431363764,4.431363764,4.525044807,0.2174,1,13
69,Macropus fuliginosus,SW,0,3,F,28000,36500,Macropus,1,H,T,N,5,4.447158031,4.447158031,4.562292864,0.56082,1,13
70,Macropus robustus,SW,0,2,M,33625,25375,Macropus,1,H,T,N,5,4.526662293,4.526662293,4.404406051,0.52278,1,13
71,Capra hircus,SW,0,1,M,40000,33500,Capra,1,H,T,D,1,4.602059991,4.602059991,4.525044807,0.32936,1,13
72,Macropus fuliginosus,SW,0,3,M,45000,36500,Macropus,1,H,T,N,5,4.653212514,4.653212514,4.562292864,0.4027,1,13
73,Macropus rufus,SW,0,1,M,55000,40000,Macropus,1,H,T,N,5,4.740362689,4.740362689,4.602059991,0.32093,1,13
74,Sus scrofa,SW,0,3,F,67500,86250,Sus,1,F,T,N,1,4.829303773,4.829303773,4.935759104,0.40158,1,13
75,Sus scrofa,SW,0,3,M,105000,86250,Sus,1,F,T,N,1,5.021189299,5.021189299,4.935759104,NA,NA,13
