scientific,region,ext,per_occupied,sex,wt,avg_wt,genus,dimorph,diet,strata,activity,reg_congen,log_wt,log_avg_wt,logWtAnalysis,rank
Phascogale calura,SW,0,2,F,43.0,51.5,Phascogale,1.0,A,AT,N,2,1.633468456,1.711807229,1.633468456,16
Notomys mitchelli,SW,0,3,B,52.0,52.0,Notomys,0.0,F,ST,N,2,1.716003344,1.716003344,1.716003344,17
Antechinus flavipes,SW,0,2,M,56.0,45.0,Antechinus,1.0,A,AT,N,1,1.748188027,1.653212514,1.748188027,18
Phascogale calura,SW,0,2,M,60.0,51.5,Phascogale,1.0,A,AT,N,2,1.77815125,1.711807229,1.77815125,19
Pseudomys shortridgei,SW,0,3,B,70.0,70.0,Pseudomys,0.0,F,T,N,5,1.84509804,1.84509804,1.84509804,20
Rattus fuscipes,SW,0,2,B,132.5,132.5,Rattus,0.0,F,ST,N,4,2.122215878,2.122215878,2.122215878,21
Phascogale tapoatafa,SW,0,3,F,156.0,193.5,Phascogale,1.0,A,A,N,2,2.193124598,2.286680969,2.193124598,22
Phascogale tapoatafa,SW,0,3,M,231.0,193.5,Phascogale,1.0,A,A,N,2,2.36361198,2.286680969,2.36361198,23
Rattus rattus,SW,0,3,B,280.0,280.0,Rattus,0.0,F,T,N,4,2.447158031,2.447158031,2.447158031,24
Rattus norvegicus,SW,0,2,B,320.0,320.0,Rattus,0.0,F,ST,N,4,2.505149978,2.505149978,2.505149978,25
Hydromys chrysogaster,SW,0,2,F,606.0,680.5,Hydromys,1.0,A,AT,N,1,2.782472624,2.8328281300000002,2.782472624,26
Isoodon obesulus,SW,0,3,F,620.0,755.0,Isoodon,1.0,A,T,C,1,2.792391689,2.877946952,2.792391689,27
Hydromys chrysogaster,SW,0,2,M,755.0,680.5,Hydromys,1.0,A,AT,N,1,2.877946952,2.8328281300000002,2.877946952,28
Dasyurus geoffroii,SW,0,3,F,890.0,1100.0,Dasyurus,1.0,A,ST,N,1,2.949390007,3.041392685,2.949390007,29
Isoodon obesulus,SW,0,3,M,890.0,755.0,Isoodon,1.0,A,T,C,1,2.949390007,2.877946952,2.949390007,30
Pseudocheirus occidentalis,SW,0,3,B,1e3,1e3,Pseudocheirus,0.0,H,A,N,1,3.0,3.0,3.0,31
Dasyurus geoffroii,SW,0,3,M,1310.0,1100.0,Dasyurus,1.0,A,ST,N,1,3.117271296,3.041392685,3.117271296,32
Oryctolagus cuniculus,SW,0,3,F,1570.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.195899652,3.198657087,3.195899652,33
Oryctolagus cuniculus,SW,0,3,M,1590.0,1580.0,Oryctolagus,1.0,H,ST,CR,1,3.201397124,3.198657087,3.201397124,34
Trichosurus vulpecula,SW,0,3,F,2350.0,2625.0,Trichosurus,1.0,H,A,N,1,3.371067862,3.419129308,3.371067862,35
Setonix brachyurus,SW,0,2,F,2550.0,3e3,Setonix,1.0,H,T,N,1,3.40654018,3.477121255,3.40654018,36
Trichosurus vulpecula,SW,0,3,M,2900.0,2625.0,Trichosurus,1.0,H,A,N,1,3.462397998,3.419129308,3.462397998,37
Setonix brachyurus,SW,0,2,M,3450.0,3e3,Setonix,1.0,H,T,N,1,3.537819095,3.477121255,3.537819095,38
Felis catus,SW,0,3,F,3750.0,4550.0,Felis,1.0,A,T,N,1,3.574031268,3.658011397,3.574031268,39
Tachyglossus aculeatus,SW,0,3,B,4500.0,4500.0,Tachyglossus,0.0,A,ST,N,1,3.653212514,3.653212514,3.653212514,40
Felis catus,SW,0,3,M,5350.0,4550.0,Felis,1.0,A,T,N,1,3.728353782,3.658011397,3.728353782,41
Vulpes vulpes,SW,0,3,F,5400.0,5950.0,Vulpes,1.0,A,T,N,1,3.73239376,3.774516966,3.73239376,42
Macropus eugenii,SW,0,3,F,5500.0,6500.0,Macropus,1.0,H,T,N,5,3.740362689,3.812913357,3.740362689,43
Vulpes vulpes,SW,0,3,M,6500.0,5950.0,Vulpes,1.0,A,T,N,1,3.812913357,3.774516966,3.812913357,44
Macropus eugenii,SW,0,3,M,7500.0,6500.0,Macropus,1.0,H,T,N,5,3.875061263,3.812913357,3.875061263,45
Macropus irma,SW,0,3,B,8e3,8e3,Macropus,0.0,H,T,CR,5,3.903089987,3.903089987,3.903089987,46
Canis lupus,SW,0,2,F,13e3,14e3,Canis,1.0,A,T,C,1,4.113943352,4.146128036,4.113943352,47
Canis lupus,SW,0,2,M,15e3,14e3,Canis,1.0,A,T,C,1,4.176091259,4.146128036,4.176091259,48
Macropus robustus,SW,0,2,F,17125.0,25375.0,Macropus,1.0,H,T,N,5,4.23363058,4.404406051,4.23363058,49
Macropus rufus,SW,0,1,F,25e3,4e4,Macropus,1.0,H,T,N,5,4.397940009,4.602059991,4.397940009,50
Capra hircus,SW,0,1,F,27e3,33500.0,Capra,1.0,H,T,D,1,4.431363764,4.525044807,4.431363764,51
Macropus fuliginosus,SW,0,3,F,28e3,36500.0,Macropus,1.0,H,T,N,5,4.447158031,4.562292864,4.447158031,52
Macropus robustus,SW,0,2,M,33625.0,25375.0,Macropus,1.0,H,T,N,5,4.526662293,4.404406051,4.526662293,53
Capra hircus,SW,0,1,M,4e4,33500.0,Capra,1.0,H,T,D,1,4.602059991,4.525044807,4.602059991,54
Macropus fuliginosus,SW,0,3,M,45e3,36500.0,Macropus,1.0,H,T,N,5,4.653212514,4.562292864,4.653212514,55
Macropus rufus,SW,0,1,M,55e3,4e4,Macropus,1.0,H,T,N,5,4.740362689,4.602059991,4.740362689,56
Sus scrofa,SW,0,3,F,67500.0,86250.0,Sus,1.0,F,T,N,1,4.829303773,4.935759104,4.829303773,57
Sus scrofa,SW,0,3,M,105e3,86250.0,Sus,1.0,F,T,N,1,5.021189299,4.935759104,5.021189299,58
